owner,repository,category,stars,forks,watchers,subscribers,open_issues,size,language,topics_count,license,default_branch,contributors,releases,branches,readme_size,has_wiki,has_projects,has_issues,has_pages,archived,disabled,created_at,updated_at,pushed_at
Pixel-Props,BetterKnownInstalled,SmallActive,500,11,500,8,0,3189,Shell,0,GPL-3.0,main,3,2,1,3811,0,1,1,0,0,0,2025-02-06 18:01:34+00:00,2026-07-14 11:11:36+00:00,2025-09-06 21:00:51+00:00
sysnet4admin,_Book_k8sInfra,SmallActive,500,187,500,15,0,26716,Shell,12,No License,main,1,0,1,9272,1,1,1,0,0,0,2020-10-06 11:41:08+00:00,2026-06-23 17:30:18+00:00,2026-06-21 02:30:49+00:00
hjkl112,DC-Electronic-Load-based,SmallActive,500,1,500,0,0,40849,C,0,No License,main,1,0,1,283,1,1,1,0,0,0,2025-06-25 02:18:50+00:00,2026-07-10 11:31:24+00:00,2025-06-25 03:10:21+00:00
ralph-irving,squeezelite,SmallActive,500,135,500,42,31,674,C,0,NOASSERTION,master,1,0,1,1937,1,1,1,0,0,0,2015-02-20 16:43:46+00:00,2026-07-13 08:37:59+00:00,2026-06-12 18:47:46+00:00
tickflow-org,tickflow,SmallActive,500,40,500,4,2,147,Python,3,No License,main,1,0,1,9090,0,1,1,0,0,0,2026-03-09 14:09:49+00:00,2026-07-14 08:44:45+00:00,2026-06-20 02:37:52+00:00
openai,openai-realtime-solar-system,SmallActive,500,101,500,4,0,2799,TypeScript,0,MIT,main,1,0,2,6580,1,1,1,0,0,0,2025-01-13 18:11:13+00:00,2026-07-10 13:26:53+00:00,2026-03-04 16:05:51+00:00
safak,e-commerce-ui,SmallActive,500,587,500,1,6,11876,TypeScript,0,No License,starter,1,0,2,1450,1,1,1,0,0,0,2025-07-31 15:29:50+00:00,2026-07-13 16:41:20+00:00,2025-10-01 10:13:13+00:00
exacity,deeplearningbook-chinese,Dormant,37318,9121,37318,2169,67,8908,TeX,0,No License,master,15,7,3,9770,1,1,1,1,0,0,2016-12-07 11:46:51+00:00,2026-07-14 09:43:46+00:00,2019-12-03 04:25:44+00:00
Advanced-Frontend,Daily-Interview-Question,Dormant,27416,3244,27416,988,266,199,JavaScript,5,No License,master,6,0,1,8522,1,1,1,0,0,0,2019-01-19 10:49:00+00:00,2026-07-14 01:36:07+00:00,2020-11-09 01:07:00+00:00
fouber,blog,Dormant,22583,2334,22583,4980,17,19107,Unknown,0,No License,master,2,0,1,5049,1,1,1,0,0,0,2014-04-25 09:44:42+00:00,2026-07-11 14:23:09+00:00,2019-11-12 05:28:36+00:00
